id,title,release_date,duration,directory,note,reviews
10126,Pulp Fiction,1994-10-26,8940,Quentin Tarantino,4.4,7
10251,Le Tombeau des lucioles,1996-06-19,5400,Isao Takahata,4,5
10862,Le Roi Lion,1994-11-23,5340,Roger Allers,3.4,8
114782,Interstellar,2014-11-05,10140,Christopher Nolan,3.8,40
12475,American History X,1999-03-03,7140,Tony Kaye,2.8,18
12837,Usual Suspects,1995-07-19,6360,Bryan Singer,4.6,5
135063,Gran Torino,2009-02-25,6960,Clint Eastwood,4.7,28
13892,Seven,1996-01-31,7800,David Fincher,3.6,5
143692,Inception,2010-07-21,8880,Christopher Nolan,4.1,24
1603,Psychose,1960-11-02,6540,Alfred Hitchcock,4.5,6
182745,Intouchables,2011-11-02,6720,Eric Toledano,3.7,28
1832,Les Temps modernes,1936-03-13,5220,Charles Chaplin,4.6,8
185719,Bohemian Rhapsody,2018-10-31,8100,Bryan Singer,3,26
190918,Django Unchained,2013-01-16,9840,Quentin Tarantino,4.6,33
19395,"Le Bon, la brute et le truand",1968-03-08,10800,Sergio Leone,4.1,8
1941,Il était une fois en Amérique,1984-05-23,15060,Sergio Leone,4.9,8
2021,Il était une fois dans l'Ouest,1969-08-27,10500,Sergio Leone,4,5
206736,"Les Enfants Loups, Ame & Yuki",2012-08-29,7020,Mamoru Hosoda,4.1,22
206775,Coco,2017-11-15,6300,Lee Unkrich,4.1,31
208104,Tu ne tueras point,2016-11-09,8400,Mel Gibson,3,24
21189,Fight Club,1999-11-10,8340,David Fincher,2.7,22
2253,Le Dictateur,1945-04-04,7500,Charles Chaplin,5,15
225953,Whiplash,2014-12-24,6420,Damien Chazelle,4.1,30
229070,Lion,2017-02-22,7080,Garth Davis,3.1,31
24944,Gladiator,2000-06-20,9300,Ridley Scott,4.3,24
255238,Parasite,2019-06-05,7920,Bong Joon Ho,4.8,36
256661,Green Book : Sur les routes du sud,2019-01-23,7800,Peter Farrelly,4,29
25801,Star Wars : Episode IV - Un nouvel espoir (La Guerre des étoiles),1977-10-19,7260,George Lucas,4.8,6
25802,Star Wars : Episode V - L'Empire contre-attaque,1980-08-20,7440,Irvin Kershner,5,5
25803,Star Wars : Episode VI - Le Retour du Jedi,1983-10-19,7980,Richard Marquand,3,5
258374,Joker,2019-10-09,7320,Todd Phillips,4.1,44
27070,Le Seigneur des anneaux : la communauté de l'anneau,2001-12-19,10680,Peter Jackson,3.7,17
28201,"Le Parrain, 2e partie",1975-08-27,12000,Francis Ford Coppola,4.7,10
39186,Le Seigneur des anneaux : les deux tours,2002-12-18,10740,Peter Jackson,4,20
448,Retour vers le futur,1985-10-30,6960,Robert Zemeckis,3.6,5
56714,Million Dollar Baby,2005-03-23,7920,Clint Eastwood,4.9,25
5969,Les Affranchis,1990-09-12,8700,Martin Scorsese,5,5
64439,La Vie est belle,1998-10-21,7020,Roberto Benigni,3.7,10
6641,Le Silence des agneaux,1991-04-10,7080,Jonathan Demme,4.8,5
